           location        date  total_cases  new_cases
        Afghanistan  2019-12-31            0          0
             Sweden  2019-12-31            0          0
          Macedonia  2019-12-31            0          0
          Lithuania  2019-12-31            0          0
        Switzerland  2019-12-31            0          0
            Lebanon  2019-12-31            0          0
             Kuwait  2019-12-31            0          0
             Taiwan  2019-12-31            0          0
              Japan  2019-12-31            0          0
           Thailand  2019-12-31            0          0
              Italy  2019-12-31            0          0
              China  2019-12-31           27         27
           Cambodia  2019-12-31            0          0
 UnitedArabEmirates  2019-12-31            0          0
      UnitedKingdom  2019-12-31            0          0
             Israel  2019-12-31            0          0
            Germany  2019-12-31            0          0
       UnitedStates  2019-12-31            0          0
            Denmark  2019-12-31            0          0
            Vietnam  2019-12-31            0          0
               Iraq  2019-12-31            0          0
             Canada  2019-12-31            0          0
            Algeria  2019-12-31            0          0
               Iran  2019-12-31            0          0
             Greece  2019-12-31            0          0
            Georgia  2019-12-31            0          0
           SriLanka  2019-12-31            0          0
             Brazil  2019-12-31            0          0
           Malaysia  2019-12-31            0          0
        Philippines  2019-12-31            0          0
            Romania  2019-12-31            0          0
             Russia  2019-12-31            0          0
              Egypt  2019-12-31            0          0
           Pakistan  2019-12-31            0          0
            Belgium  2019-12-31            0          0
            Bahrain  2019-12-31            0          0
            Finland  2019-12-31            0          0
          SanMarino  2019-12-31            0          0
               Oman  2019-12-31            0          0
             Norway  2019-12-31            0          0
          Singapore  2019-12-31            0          0
        Netherlands  2019-12-31            0          0
              Nepal  2019-12-31            0          0
             France  2019-12-31            0          0
            Austria  2019-12-31            0          0
         SouthKorea  2019-12-31            0          0
            Croatia  2019-12-31            0          0
              Spain  2019-12-31            0          0
          Australia  2019-12-31            0          0
              India  2019-12-31            0          0
            Algeria  2020-01-01            0          0
               Iraq  2020-01-01            0          0
            Croatia  2020-01-01            0          0
           Thailand  2020-01-01            0          0
            Romania  2020-01-01            0          0
             Canada  2020-01-01            0          0
             Taiwan  2020-01-01            0          0
           Cambodia  2020-01-01            0          0
        Netherlands  2020-01-01            0          0
           Pakistan  2020-01-01            0          0
              Japan  2020-01-01            0          0
          Australia  2020-01-01            0          0
             Greece  2020-01-01            0          0
             Sweden  2020-01-01            0          0
            Vietnam  2020-01-01            0          0
          Singapore  2020-01-01            0          0
          Macedonia  2020-01-01            0          0
            Denmark  2020-01-01            0          0
             Russia  2020-01-01            0          0
